,Survey_ID,black,native,asian,hawaiian,other_race,unsure_race,latinx,fst5,snd5,trd5,age_18-25,age_26-35,age_36-45,age_46-55,age_56-65,age_66+,age_Under 18,gender_Gender non-conforming or non-binary or other,gender_Man,gender_Prefer not to say,gender_Woman
717,1716,1,0,0,0,0,0,0,False,False,False,0,0,1,0,0,0,0,0,1,0,0
725,1743,1,0,0,0,0,0,0,True,False,False,1,0,0,0,0,0,0,0,1,0,0
726,1749,1,0,0,0,0,0,0,True,False,False,1,0,0,0,0,0,0,0,1,0,0
728,1756,0,0,0,0,0,1,1,False,False,False,0,0,1,0,0,0,0,0,1,0,0
734,1779,0,1,0,0,0,0,0,True,False,False,1,0,0,0,0,0,0,0,1,0,0
736,1796,1,0,0,0,1,0,0,False,True,False,0,0,0,1,0,0,0,0,1,0,0
737,1798,1,0,0,0,0,0,0,False,True,False,1,0,0,0,0,0,0,0,1,0,0
743,1827,0,1,0,0,0,0,1,False,False,False,0,1,0,0,0,0,0,0,1,0,0
748,1834,1,1,0,0,0,0,0,False,False,True,0,0,0,1,0,0,0,0,0,0,1
752,1859,1,0,0,0,0,0,0,False,True,False,0,1,0,0,0,0,0,0,1,0,0
753,1862,0,0,0,0,1,0,1,False,False,False,0,0,0,1,0,0,0,0,1,0,0
758,1882,1,0,0,0,0,0,0,False,False,True,0,1,0,0,0,0,0,0,1,0,0
759,1883,0,0,0,0,1,0,0,False,True,False,0,0,1,0,0,0,0,0,1,0,0
766,1922,1,0,0,0,0,0,0,True,False,False,0,1,0,0,0,0,0,0,1,0,0
769,1934,0,0,0,0,0,1,0,False,False,False,1,0,0,0,0,0,0,0,0,1,0
776,1962,0,1,0,0,0,0,0,False,False,False,0,0,0,0,0,1,0,0,1,0,0
779,1969,0,0,0,0,1,0,1,False,False,True,0,1,0,0,0,0,0,0,1,0,0
781,1973,0,0,0,0,1,1,1,True,False,False,1,0,0,0,0,0,0,0,1,0,0
783,1975,0,1,0,0,0,0,1,False,False,False,0,1,0,0,0,0,0,0,1,0,0
784,1978,0,1,0,0,0,0,0,False,False,False,0,0,1,0,0,0,0,0,0,0,1
785,1979,0,0,0,0,1,0,1,False,False,False,0,0,1,0,0,0,0,0,0,0,1
787,1984,0,0,0,0,1,0,0,False,True,False,0,1,0,0,0,0,0,0,1,0,0
788,1986,0,0,0,1,0,0,1,False,False,False,0,0,1,0,0,0,0,0,1,0,0
789,1988,0,0,0,0,1,0,1,False,False,False,0,0,1,0,0,0,0,0,1,0,0
790,1998,0,0,0,0,1,0,1,False,False,False,1,0,0,0,0,0,0,0,1,0,0
792,2004,0,1,0,0,0,0,0,False,False,False,0,1,0,0,0,0,0,0,1,0,0
